Inventory_ID,Product_ID,Warehouse_ID,Stock_Quantity,Reorder_Level,Safety_Stock,Last_Updated,,,,,,,
1,368,11,2784,251,190,2/26/2026,,,,,,,
2,843,10,1236,168,246,3/25/2026,,,,,,,
3,656,13,1827,279,421,2/15/2026,,,,,,,
4,92,18,2689,171,163,3/7/2026,,,,,Inventory_ID,INT,","
5,511,22,2598,885,467,3/21/2026,,,,,Product_ID,INT,","
6,573,4,1414,770,385,2/21/2026,,,,,Warehouse_ID,INT,","
7,207,18,123,122,191,4/4/2026,,,,,Stock_Quantity,INT,","
8,947,22,744,122,499,2/20/2026,,,,,Reorder_Level,INT,","
9,37,6,3514,269,108,2/19/2026,,,,,Safety_Stock,INT,","
10,19,22,742,883,354,3/15/2026,,,,,Last_Updated,DATE,
11,130,26,3562,995,197,4/22/2026,,,,,,,
12,612,14,1836,469,91,2/13/2026,,,,,,,
13,67,26,4708,705,124,3/21/2026,,,,,,,
14,272,8,954,399,265,4/15/2026,,,,,,,
15,988,30,3420,344,305,2/16/2026,,,,,,,
16,733,20,2869,182,139,4/29/2026,,,,,,,
17,716,2,632,254,171,4/17/2026,,,,,,,
18,810,22,4135,420,195,3/12/2026,,,,,,,
19,575,10,947,204,274,2/22/2026,,,,,,,
20,923,3,857,255,443,3/11/2026,,,,,,,
21,516,11,2656,614,499,3/13/2026,,,,,,,
22,89,12,2107,442,66,3/30/2026,,,,,,,
23,908,6,3198,440,84,4/4/2026,,,,,,,
24,40,12,3281,465,473,4/16/2026,,,,,,,
25,789,21,784,258,179,3/31/2026,,,,,,,
26,564,10,1437,268,86,5/5/2026,,,,,,,
27,571,29,1611,538,207,3/23/2026,,,,,,,
28,633,5,3606,828,154,2/15/2026,,,,,,,
29,493,30,1652,249,92,3/31/2026,,,,,,,
30,801,14,2187,230,480,3/11/2026,,,,,,,
31,694,1,4621,539,152,5/5/2026,,,,,,,
32,665,2,2558,429,316,3/13/2026,,,,,,,
33,164,25,588,581,382,2/18/2026,,,,,,,
34,61,13,2568,741,492,2/19/2026,,,,,,,
35,775,9,4762,195,364,5/7/2026,,,,,,,
36,501,20,1017,610,305,3/24/2026,,,,,,,
37,446,29,396,902,323,4/2/2026,,,,,,,
38,185,1,1436,421,456,3/27/2026,,,,,,,
39,68,15,248,982,221,2/20/2026,,,,,,,
40,497,2,1598,694,214,3/2/2026,,,,,,,
41,442,9,3326,405,237,4/11/2026,,,,,,,
42,391,4,3586,404,422,4/2/2026,,,,,,,
43,501,4,3467,308,298,3/4/2026,,,,,,,
44,470,3,4383,426,404,4/28/2026,,,,,,,
45,440,3,3093,139,356,4/9/2026,,,,,,,
46,457,11,2319,986,322,3/28/2026,,,,,,,
47,223,25,2545,463,289,3/12/2026,,,,,,,
48,430,12,150,647,340,3/12/2026,,,,,,,
49,626,17,1673,841,291,2/16/2026,,,,,,,
50,102,5,4216,693,356,4/28/2026,,,,,,,
51,874,19,4350,970,319,5/3/2026,,,,,,,
52,555,8,1927,974,209,3/19/2026,,,,,,,
53,859,12,229,553,191,4/23/2026,,,,,,,
54,755,5,2083,476,441,3/5/2026,,,,,,,
55,558,24,3345,341,327,3/5/2026,,,,,,,
56,233,14,3772,128,139,4/6/2026,,,,,,,
57,177,29,3276,453,246,4/26/2026,,,,,,,
58,470,28,2155,430,484,4/11/2026,,,,,,,
59,825,16,1985,453,447,3/13/2026,,,,,,,
60,473,9,167,941,339,3/24/2026,,,,,,,
61,811,1,1322,225,184,4/14/2026,,,,,,,
62,629,26,648,977,256,5/10/2026,,,,,,,
63,652,24,4824,374,366,4/19/2026,,,,,,,
64,562,27,1599,871,77,3/29/2026,,,,,,,
65,863,26,1211,216,184,2/28/2026,,,,,,,
66,631,9,3135,304,259,3/3/2026,,,,,,,
67,934,11,4651,717,470,3/31/2026,,,,,,,
68,287,16,4450,121,307,4/19/2026,,,,,,,
69,632,21,1755,452,121,2/11/2026,,,,,,,
70,834,5,1437,777,141,3/11/2026,,,,,,,
71,136,14,3131,940,81,4/18/2026,,,,,,,
72,953,29,1359,396,365,3/17/2026,,,,,,,
73,132,7,3963,474,129,4/9/2026,,,,,,,
74,197,25,1361,387,303,3/12/2026,,,,,,,
75,598,17,122,956,304,4/2/2026,,,,,,,
76,74,16,1664,268,360,4/12/2026,,,,,,,
77,638,10,123,672,270,5/5/2026,,,,,,,
78,395,12,2538,927,153,4/26/2026,,,,,,,
79,731,20,410,522,488,3/4/2026,,,,,,,
80,876,27,4105,723,260,2/20/2026,,,,,,,
81,487,1,1605,234,128,3/13/2026,,,,,,,
82,140,5,1995,341,152,2/25/2026,,,,,,,
83,883,18,4219,160,285,2/13/2026,,,,,,,
84,676,18,4034,664,243,4/23/2026,,,,,,,
85,108,19,2085,259,222,3/4/2026,,,,,,,
86,33,8,910,325,190,4/24/2026,,,,,,,
87,783,2,1603,896,399,3/13/2026,,,,,,,
88,186,23,4593,561,442,2/18/2026,,,,,,,
89,588,13,4538,681,296,4/15/2026,,,,,,,
90,871,6,4911,564,91,4/22/2026,,,,,,,
91,892,28,2037,861,179,2/18/2026,,,,,,,
92,583,22,416,977,344,4/21/2026,,,,,,,
93,783,24,1693,260,434,3/23/2026,,,,,,,
94,805,5,2375,349,308,5/4/2026,,,,,,,
95,447,25,4790,798,420,5/4/2026,,,,,,,
96,957,3,2705,435,415,4/27/2026,,,,,,,
97,95,13,3185,435,201,3/28/2026,,,,,,,
98,821,2,1376,402,91,5/2/2026,,,,,,,
99,763,10,4817,609,138,4/21/2026,,,,,,,
100,740,15,2157,280,272,3/20/2026,,,,,,,
101,531,10,3954,969,242,2/27/2026,,,,,,,
102,251,9,464,127,88,5/10/2026,,,,,,,
103,479,18,502,953,416,4/2/2026,,,,,,,
104,879,7,4448,983,205,2/26/2026,,,,,,,
105,5,23,4172,238,335,3/31/2026,,,,,,,
106,538,25,4670,873,174,4/28/2026,,,,,,,
107,147,8,799,357,332,3/23/2026,,,,,,,
108,685,6,3157,257,161,3/22/2026,,,,,,,
109,983,18,2776,155,423,3/8/2026,,,,,,,
110,930,23,1504,532,404,4/12/2026,,,,,,,
111,240,19,4652,704,467,4/23/2026,,,,,,,
112,533,10,3567,126,113,5/11/2026,,,,,,,
113,655,27,1064,699,192,2/26/2026,,,,,,,
114,443,29,4376,260,74,3/3/2026,,,,,,,
115,1000,14,1634,759,448,3/17/2026,,,,,,,
116,348,14,573,199,105,3/8/2026,,,,,,,
117,837,2,1209,620,348,3/30/2026,,,,,,,
118,478,16,4550,568,297,2/28/2026,,,,,,,
119,856,1,4356,293,346,2/23/2026,,,,,,,
120,65,12,1586,786,436,4/21/2026,,,,,,,
121,626,10,788,581,93,2/15/2026,,,,,,,
122,64,14,2709,535,81,5/4/2026,,,,,,,
123,139,21,1004,160,249,4/6/2026,,,,,,,
124,985,25,2719,645,382,3/11/2026,,,,,,,
125,959,4,1292,491,455,3/4/2026,,,,,,,
126,313,1,550,858,139,4/21/2026,,,,,,,
127,160,27,1610,743,210,4/18/2026,,,,,,,
128,736,25,2728,786,293,3/24/2026,,,,,,,
129,417,3,2467,441,150,2/28/2026,,,,,,,
130,593,15,4221,957,307,3/26/2026,,,,,,,
131,670,21,3543,611,475,3/27/2026,,,,,,,
132,724,1,2367,510,412,3/22/2026,,,,,,,
133,463,27,1091,325,498,3/17/2026,,,,,,,
134,446,10,178,835,269,3/6/2026,,,,,,,
135,946,4,4149,193,458,4/13/2026,,,,,,,
136,405,15,1950,311,128,2/17/2026,,,,,,,
137,828,28,1185,686,110,2/22/2026,,,,,,,
138,186,5,2636,648,390,3/1/2026,,,,,,,
139,372,9,2595,425,181,5/3/2026,,,,,,,
140,763,17,4416,934,111,4/10/2026,,,,,,,
141,115,19,103,127,433,4/7/2026,,,,,,,
142,955,28,3879,911,406,3/18/2026,,,,,,,
143,297,8,1460,685,308,4/8/2026,,,,,,,
144,285,12,2809,349,230,5/6/2026,,,,,,,
145,114,19,2667,390,264,2/18/2026,,,,,,,
146,241,11,4484,140,183,2/18/2026,,,,,,,
147,759,12,287,725,196,3/30/2026,,,,,,,
148,465,14,1528,411,353,3/10/2026,,,,,,,
149,633,11,3204,816,220,2/22/2026,,,,,,,
150,47,13,2671,630,57,3/10/2026,,,,,,,
151,530,14,389,788,60,3/1/2026,,,,,,,
152,922,6,2080,428,152,2/20/2026,,,,,,,
153,617,27,1337,963,419,3/5/2026,,,,,,,
154,363,30,978,927,114,4/25/2026,,,,,,,
155,178,5,4494,294,100,3/19/2026,,,,,,,
156,178,10,4672,592,462,3/2/2026,,,,,,,
157,790,7,2469,425,218,3/23/2026,,,,,,,
158,798,20,2336,478,253,4/13/2026,,,,,,,
159,375,5,429,605,149,4/23/2026,,,,,,,
160,801,13,3906,825,378,2/20/2026,,,,,,,
161,61,26,1314,369,478,3/26/2026,,,,,,,
162,869,18,4429,468,185,3/17/2026,,,,,,,
163,909,14,52,759,239,3/22/2026,,,,,,,
164,116,26,3294,673,490,3/4/2026,,,,,,,
165,247,1,3528,436,307,5/4/2026,,,,,,,
166,604,7,761,418,412,3/25/2026,,,,,,,
167,92,20,1220,535,290,5/6/2026,,,,,,,
168,420,8,2369,180,237,3/13/2026,,,,,,,
169,197,19,2198,815,147,4/28/2026,,,,,,,
170,147,7,4708,358,447,3/31/2026,,,,,,,
171,474,8,823,660,244,3/1/2026,,,,,,,
172,928,21,3513,707,302,4/22/2026,,,,,,,
173,419,4,1387,570,228,3/7/2026,,,,,,,
174,259,9,4704,611,93,4/17/2026,,,,,,,
175,480,13,2155,826,187,3/6/2026,,,,,,,
176,835,9,4858,233,235,4/21/2026,,,,,,,
177,992,10,2432,562,119,2/20/2026,,,,,,,
178,276,19,1632,769,92,2/22/2026,,,,,,,
179,39,6,1863,467,387,5/2/2026,,,,,,,
180,554,5,981,370,397,3/18/2026,,,,,,,
181,70,17,3225,443,69,4/8/2026,,,,,,,
182,973,30,356,228,459,4/30/2026,,,,,,,
183,344,1,3096,943,79,2/19/2026,,,,,,,
184,132,16,3781,317,342,4/4/2026,,,,,,,
185,681,1,2995,788,60,3/31/2026,,,,,,,
186,522,11,2545,121,157,2/11/2026,,,,,,,
