PO_ID,Supplier_ID,Product_ID,Order_Date,Expected_Date,Actual_Date,Quantity,PO_Status,,,,,,
1,49,998,11/28/2024,12/15/2024,12/15/2024,2889,Delayed,,,,,,
2,85,982,7/9/2025,7/24/2025,7/27/2025,373,Delayed,,,,,,
3,117,900,12/11/2024,12/25/2024,12/28/2024,1495,Open,,,,,,
4,120,632,11/23/2024,12/6/2024,12/11/2024,1589,Closed,,,,PO_ID,INT,","
5,106,795,4/29/2024,5/18/2024,5/19/2024,537,Delayed,,,,Supplier_ID,INT,","
6,163,499,2/20/2024,2/27/2024,3/2/2024,373,Closed,,,,Product_ID,INT,","
7,84,123,7/7/2024,7/11/2024,7/12/2024,4358,Closed,,,,Order_Date,DATE,","
8,129,864,8/21/2025,9/6/2025,9/8/2025,1743,Closed,,,,Expected_Date,DATE,","
9,75,791,11/1/2024,11/5/2024,11/6/2024,2090,Closed,,,,Actual_Date,DATE,","
10,198,767,1/10/2025,1/23/2025,1/24/2025,754,Closed,,,,Quantity,INT,","
11,136,202,9/9/2024,9/15/2024,9/17/2024,4328,Closed,,,,PO_Status,VARCHAR,
12,87,838,3/23/2025,4/2/2025,4/2/2025,2220,Closed,,,,,,
13,131,121,4/5/2024,4/14/2024,4/12/2024,519,Delayed,,,,,,
14,17,731,5/18/2024,6/1/2024,6/2/2024,1028,Closed,,,,,,
15,114,928,6/26/2025,7/15/2025,7/21/2025,3685,Open,,,,,,
16,152,175,11/4/2024,11/12/2024,11/16/2024,4463,Closed,,,,,,
17,149,406,8/16/2024,8/25/2024,8/24/2024,1363,Open,,,,,,
18,88,508,1/26/2025,2/10/2025,2/16/2025,2318,Delayed,,,,,,
19,3,311,1/24/2024,2/12/2024,2/13/2024,3835,Closed,,,,,,
20,29,715,9/15/2024,10/3/2024,10/2/2024,4794,Delayed,,,,,,
21,114,96,1/16/2025,1/30/2025,2/5/2025,3759,Delayed,,,,,,
22,160,715,9/11/2025,9/16/2025,9/16/2025,4660,Open,,,,,,
23,31,839,9/3/2024,9/18/2024,9/19/2024,4960,Closed,,,,,,
