Order_ID,Date,Product_ID,Region,Quantity,Sales_Amount,Customer_Type,Channel,,,,,,
1,11/27/2024,729,South,89,30425.54,Online,Wholesale,,,,,,
2,5/6/2024,461,East,12,1216.44,Retail,Wholesale,,,,,,
3,12/25/2025,999,South,50,18854.5,Distributor,Wholesale,,,,Order_ID,INT,","
4,1/24/2025,935,East,6,2374.32,Online,Wholesale,,,,Date,DATE,","
5,6/2/2024,184,North,21,9260.37,Distributor,Store,,,,Product_ID,INT,","
6,11/12/2024,457,East,94,37212.72,Online,E-Commerce,,,,Region,VARCHAR,","
7,4/30/2024,4,East,17,8197.4,Retail,Store,,,,Quantity,INT,","
8,5/24/2025,6,West,64,18853.12,Retail,E-Commerce,,,,Sales_Amount,"NUMERIC (10, 2)",","
9,8/25/2025,420,West,85,22445.95,Retail,Wholesale,,,,Customer_Type,VARCHAR,","
10,9/6/2025,561,East,1,160.12,Online,Wholesale,,,,Channel,VARCHAR,
11,7/24/2025,152,North,27,1944.27,Online,Store,,,,,,
12,2/7/2024,684,East,19,8250.18,Distributor,E-Commerce,,,,,,
13,2/20/2024,183,South,14,3326.82,Online,Store,,,,,,
14,9/17/2025,610,South,85,30700.3,Distributor,Wholesale,,,,,,
15,8/15/2025,96,East,47,22050.99,Distributor,Store,,,,,,
16,1/23/2025,864,North,9,3521.7,Distributor,Store,,,,,,
17,5/17/2024,282,East,16,5801.28,Online,Store,,,,,,
18,6/21/2025,627,North,27,9804.24,Retail,Wholesale,,,,,,
19,10/6/2025,496,East,68,33608.32,Distributor,Wholesale,,,,,,
20,11/20/2024,639,East,34,9738.62,Retail,Wholesale,,,,,,
21,7/30/2025,648,West,64,18167.68,Distributor,E-Commerce,,,,,,
22,9/16/2025,199,North,30,11065.8,Retail,E-Commerce,,,,,,
23,4/21/2025,756,South,81,33090.93,Online,Store,,,,,,
24,2/27/2025,574,South,6,1201.26,Retail,Wholesale,,,,,,
25,7/25/2024,810,North,89,15728.97,Distributor,Store,,,,,,
26,6/2/2025,7,North,71,13899.67,Online,Store,,,,,,
27,12/15/2024,631,North,51,19174.98,Retail,E-Commerce,,,,,,
28,12/4/2024,491,West,44,20461.32,Retail,Wholesale,,,,,,
29,5/19/2024,472,East,62,7435.04,Distributor,Store,,,,,,
30,2/27/2024,743,East,67,12374.9,Online,Wholesale,,,,,,
31,1/20/2024,340,East,27,8365.41,Retail,E-Commerce,,,,,,
32,10/14/2024,385,South,4,810.48,Online,Wholesale,,,,,,
33,2/2/2025,886,East,24,7628.16,Online,Store,,,,,,
34,12/27/2025,89,West,5,860.85,Retail,Store,,,,,,
35,4/7/2025,310,South,39,5743.14,Retail,Store,,,,,,
36,2/8/2024,95,West,100,14094,Online,E-Commerce,,,,,,
37,5/9/2025,349,West,65,7756.45,Online,Wholesale,,,,,,
38,11/13/2024,788,North,100,19730,Online,Wholesale,,,,,,
39,5/15/2024,471,West,27,10153.62,Online,Wholesale,,,,,,
40,4/28/2024,46,North,1,189.94,Distributor,Store,,,,,,
41,2/17/2024,675,East,14,3979.64,Retail,Wholesale,,,,,,
42,11/15/2024,329,South,82,37019.72,Retail,Store,,,,,,
43,10/10/2024,452,North,69,13359.78,Distributor,E-Commerce,,,,,,
44,6/10/2024,982,North,36,3654.36,Retail,Wholesale,,,,,,
45,12/24/2024,145,East,71,13725.72,Online,E-Commerce,,,,,,
46,6/24/2024,914,East,10,1901.2,Online,Store,,,,,,
47,2/21/2024,925,North,17,1071.85,Retail,Store,,,,,,
48,2/25/2024,184,West,12,2902.92,Online,Store,,,,,,
49,11/15/2024,731,North,43,17967.55,Distributor,Wholesale,,,,,,
50,5/14/2024,942,West,12,4989.36,Retail,Store,,,,,,
51,11/13/2024,785,West,88,29919.12,Distributor,E-Commerce,,,,,,
52,8/17/2024,632,East,19,8312.31,Distributor,Store,,,,,,
53,7/6/2024,339,East,90,41649.3,Distributor,Store,,,,,,
54,1/31/2024,360,West,9,2375.1,Distributor,E-Commerce,,,,,,
55,10/16/2024,589,South,99,20481.12,Online,E-Commerce,,,,,,
56,2/19/2025,334,North,92,37585.68,Distributor,Wholesale,,,,,,
57,4/17/2025,245,South,52,16418.48,Online,E-Commerce,,,,,,
58,5/8/2025,214,West,50,3986.5,Distributor,Wholesale,,,,,,
59,12/16/2024,178,North,70,25365.2,Online,Wholesale,,,,,,
60,8/10/2025,611,West,63,6391.35,Distributor,Wholesale,,,,,,
61,4/9/2024,979,West,57,7368.96,Retail,Wholesale,,,,,,
62,4/21/2024,790,West,88,36637.04,Distributor,Store,,,,,,
63,10/22/2025,223,South,85,6601.95,Online,Wholesale,,,,,,
64,1/1/2024,153,West,97,11254.91,Online,Store,,,,,,
65,2/3/2025,201,South,79,24495.53,Online,Store,,,,,,
66,11/2/2024,696,East,73,29744.58,Distributor,Wholesale,,,,,,
67,12/18/2024,627,West,12,3746.76,Retail,Store,,,,,,
68,3/4/2024,992,North,48,21863.04,Retail,Wholesale,,,,,,
69,7/27/2025,289,North,46,4570.56,Retail,Store,,,,,,
70,12/20/2025,326,West,76,17283.92,Distributor,Store,,,,,,
71,3/21/2025,178,West,70,10153.5,Retail,E-Commerce,,,,,,
72,7/22/2025,369,West,50,21475,Retail,Store,,,,,,
73,11/17/2025,74,North,17,1877.14,Retail,Wholesale,,,,,,
74,5/13/2025,140,North,85,20955.05,Retail,Wholesale,,,,,,
75,3/1/2025,713,West,59,26674.49,Online,E-Commerce,,,,,,
76,4/10/2025,840,West,66,15896.76,Distributor,Store,,,,,,
77,8/19/2024,8,West,24,5787.6,Online,E-Commerce,,,,,,
78,12/30/2025,949,East,65,11125.4,Retail,E-Commerce,,,,,,
79,8/4/2025,116,West,62,22766.4,Online,E-Commerce,,,,,,
80,5/25/2024,880,East,94,35633.52,Distributor,Wholesale,,,,,,
81,3/21/2024,91,South,67,30180.82,Distributor,Wholesale,,,,,,
82,11/10/2025,649,East,86,7322.04,Online,E-Commerce,,,,,,
83,12/17/2024,481,West,69,27623.46,Online,Store,,,,,,
84,8/10/2025,362,East,94,18722.92,Distributor,E-Commerce,,,,,,
85,2/6/2024,768,East,89,41410.81,Online,Wholesale,,,,,,
86,9/23/2024,593,South,8,2665.52,Online,E-Commerce,,,,,,
87,11/3/2025,640,North,38,15732,Distributor,Store,,,,,,
88,3/25/2024,872,East,17,4717.84,Distributor,E-Commerce,,,,,,
89,9/22/2025,264,North,36,6258.6,Online,E-Commerce,,,,,,
90,9/10/2025,757,South,23,10569.88,Online,Store,,,,,,
91,1/13/2025,718,South,23,3853.88,Distributor,E-Commerce,,,,,,
92,6/24/2025,87,South,5,1021.4,Online,E-Commerce,,,,,,
93,5/22/2025,789,West,97,48219.67,Retail,Wholesale,,,,,,
94,3/26/2025,216,East,93,31332.63,Retail,Wholesale,,,,,,
95,9/27/2024,54,South,97,40622.63,Distributor,Store,,,,,,
