Shipment_ID,Order_ID,Dispatch_Date,Delivery_Date,Carrier,Delivery_Status,Delay_Days,,,,,,,,,
1,20568,9/18/2025,10/1/2025,FedEx,Delayed,4,,,,,,,,,
2,41906,2/6/2025,2/15/2025,BlueDart,Delivered,7,,,,,,,,,
3,9945,12/8/2024,12/17/2024,BlueDart,Delayed,3,,,,,,,,,
4,44885,10/24/2024,11/2/2024,FedEx,In Transit,7,,,,,,,,,
5,44357,9/4/2024,9/10/2024,BlueDart,Delivered,4,,,,,,,Shipment_ID,INT,","
6,42881,10/14/2025,10/21/2025,FedEx,In Transit,3,,,,,,,Order_ID,INT,","
7,28393,3/1/2025,3/9/2025,FedEx,In Transit,-1,,,,,,,Dispatch_Date,DATE,","
8,48455,5/3/2025,5/19/2025,DHL,In Transit,7,,,,,,,Delivery_Date,DATE,","
9,1525,6/16/2025,6/29/2025,FedEx,Delayed,3,,,,,,,Carrier,VARCHAR,","
10,19591,5/29/2024,5/31/2024,BlueDart,Delivered,-1,,,,,,,Delivery_Status,VARCHAR,","
11,35053,3/16/2024,4/1/2024,DHL,Delayed,6,,,,,,,Delay_Days,INT,
12,29278,5/9/2025,5/17/2025,DHL,Delayed,5,,,,,,,,,
13,489,9/27/2024,10/3/2024,FedEx,Delayed,0,,,,,,,,,
14,44319,4/30/2024,5/14/2024,DHL,In Transit,6,,,,,,,,,
15,17088,10/4/2025,10/15/2025,DHL,Delivered,5,,,,,,,,,
16,45998,1/3/2025,1/16/2025,BlueDart,Delayed,3,,,,,,,,,
17,41288,12/29/2025,1/9/2026,FedEx,Delayed,5,,,,,,,,,
18,44259,7/2/2025,7/12/2025,FedEx,In Transit,7,,,,,,,,,
19,14150,5/9/2025,5/16/2025,BlueDart,In Transit,4,,,,,,,,,
20,38776,9/2/2025,9/13/2025,Delhivery,In Transit,4,,,,,,,,,
21,24303,2/6/2024,2/16/2024,DHL,In Transit,6,,,,,,,,,
22,1706,5/14/2024,5/22/2024,BlueDart,Delivered,-1,,,,,,,,,
23,28351,11/13/2024,11/28/2024,Delhivery,In Transit,6,,,,,,,,,
24,32361,8/8/2025,8/13/2025,FedEx,Delayed,2,,,,,,,,,
25,45705,12/8/2024,12/10/2024,FedEx,In Transit,0,,,,,,,,,
26,31070,10/1/2024,10/14/2024,BlueDart,Delayed,4,,,,,,,,,
27,46203,11/26/2025,12/3/2025,FedEx,Delivered,1,,,,,,,,,
28,29926,11/21/2025,11/30/2025,Delhivery,Delayed,7,,,,,,,,,
29,44652,3/10/2025,3/16/2025,DHL,Delayed,1,,,,,,,,,
30,47860,4/22/2024,4/25/2024,DHL,Delivered,-1,,,,,,,,,
31,9391,3/15/2025,4/1/2025,FedEx,Delivered,7,,,,,,,,,
32,9961,4/20/2024,4/26/2024,FedEx,Delivered,4,,,,,,,,,
33,9183,6/18/2025,6/25/2025,Delhivery,In Transit,0,,,,,,,,,
34,34185,9/13/2024,9/21/2024,DHL,Delayed,1,,,,,,,,,
35,4137,10/6/2024,10/21/2024,FedEx,Delayed,6,,,,,,,,,
36,40876,8/28/2024,9/5/2024,DHL,In Transit,-1,,,,,,,,,
37,43884,5/20/2024,6/3/2024,FedEx,Delayed,7,,,,,,,,,
38,3910,8/2/2025,8/11/2025,DHL,Delayed,0,,,,,,,,,
39,17587,12/25/2025,1/7/2026,FedEx,In Transit,7,,,,,,,,,
40,37777,11/19/2025,11/29/2025,Delhivery,In Transit,-1,,,,,,,,,
41,31083,2/6/2025,2/17/2025,Delhivery,Delayed,3,,,,,,,,,
42,47899,5/24/2025,6/1/2025,Delhivery,In Transit,1,,,,,,,,,
43,38616,1/8/2024,1/18/2024,Delhivery,Delayed,0,,,,,,,,,
44,42064,9/9/2024,9/15/2024,FedEx,Delayed,-1,,,,,,,,,
45,8535,5/15/2025,5/25/2025,FedEx,Delivered,0,,,,,,,,,
46,43734,6/25/2024,6/28/2024,FedEx,Delayed,-1,,,,,,,,,
47,26826,7/12/2024,7/20/2024,Delhivery,Delivered,2,,,,,,,,,
48,25421,7/26/2024,8/4/2024,BlueDart,In Transit,4,,,,,,,,,
49,22797,6/1/2025,6/12/2025,FedEx,Delayed,7,,,,,,,,,
50,40095,8/31/2025,9/8/2025,DHL,In Transit,0,,,,,,,,,
51,24762,12/20/2024,12/27/2024,BlueDart,Delivered,5,,,,,,,,,
52,48682,2/15/2024,2/22/2024,BlueDart,Delayed,3,,,,,,,,,
53,38753,7/3/2025,7/5/2025,FedEx,In Transit,1,,,,,,,,,
54,40297,1/19/2025,1/30/2025,DHL,Delayed,6,,,,,,,,,
55,34062,1/27/2024,2/2/2024,BlueDart,Delivered,0,,,,,,,,,
56,38130,3/10/2025,3/25/2025,FedEx,In Transit,5,,,,,,,,,
57,17254,9/6/2025,9/12/2025,Delhivery,Delayed,3,,,,,,,,,
58,38093,8/29/2025,9/12/2025,FedEx,In Transit,4,,,,,,,,,
59,6172,6/15/2024,6/26/2024,Delhivery,In Transit,7,,,,,,,,,
60,18740,5/8/2025,5/12/2025,BlueDart,Delayed,2,,,,,,,,,
61,878,6/3/2025,6/8/2025,Delhivery,Delivered,-1,,,,,,,,,
62,12946,6/23/2024,7/5/2024,FedEx,Delivered,4,,,,,,,,,
63,37457,2/26/2024,3/7/2024,Delhivery,In Transit,3,,,,,,,,,
64,16249,9/20/2024,9/24/2024,BlueDart,Delivered,3,,,,,,,,,
65,33457,1/6/2025,1/17/2025,BlueDart,Delayed,5,,,,,,,,,
66,30629,7/22/2024,7/26/2024,DHL,In Transit,2,,,,,,,,,
67,31755,3/6/2025,3/22/2025,BlueDart,Delayed,6,,,,,,,,,
68,8226,7/19/2025,7/29/2025,FedEx,In Transit,-1,,,,,,,,,
69,11420,9/9/2025,9/16/2025,Delhivery,In Transit,5,,,,,,,,,
70,24240,4/18/2024,4/26/2024,FedEx,Delayed,2,,,,,,,,,
71,15349,8/11/2024,8/19/2024,DHL,Delayed,1,,,,,,,,,
72,42309,1/2/2024,1/12/2024,FedEx,Delivered,-1,,,,,,,,,
73,45127,11/9/2025,11/21/2025,FedEx,Delayed,3,,,,,,,,,
74,14847,7/1/2024,7/18/2024,FedEx,Delivered,7,,,,,,,,,
75,16885,10/13/2024,10/29/2024,Delhivery,Delayed,7,,,,,,,,,
76,30830,6/16/2025,6/30/2025,BlueDart,Delivered,5,,,,,,,,,
77,48750,1/31/2025,2/5/2025,FedEx,Delayed,-1,,,,,,,,,
78,15129,7/12/2025,7/17/2025,FedEx,In Transit,-1,,,,,,,,,
79,33105,6/8/2025,6/16/2025,DHL,Delivered,2,,,,,,,,,
80,34386,6/23/2024,7/4/2024,BlueDart,In Transit,1,,,,,,,,,
81,42193,4/2/2024,4/15/2024,DHL,Delayed,6,,,,,,,,,
82,29265,3/8/2025,3/13/2025,BlueDart,In Transit,0,,,,,,,,,
83,38000,2/1/2025,2/11/2025,BlueDart,Delayed,0,,,,,,,,,
84,41525,5/7/2025,5/15/2025,BlueDart,Delayed,3,,,,,,,,,
85,3953,1/25/2025,2/4/2025,BlueDart,Delayed,7,,,,,,,,,
86,18891,10/10/2024,10/18/2024,FedEx,In Transit,0,,,,,,,,,
87,29358,8/27/2025,9/4/2025,FedEx,Delivered,6,,,,,,,,,
88,8381,4/17/2025,4/30/2025,Delhivery,Delivered,4,,,,,,,,,
89,15127,6/26/2025,7/5/2025,BlueDart,Delivered,5,,,,,,,,,
90,28220,1/29/2024,2/1/2024,Delhivery,In Transit,0,,,,,,,,,
